Turbine_ID,Compressor_ID,Location,Manufacturer,Installation_Year,Last_Maintenance_Date,Operating_Hours,Next_Maintenance_Due,Power_Output_MW,Efficiency_Percent,Vibration_Level_mm_s,Temperature_C,Pressure_Ratio,Fuel_Type,Status
TURB-0081,COMP-0081,Site B,Siemens,2005,2023-03-22,83220,2023-08-20,165.3,76.44,1.22,333.63,3.22,Natural Gas,Out of Service
TURB-0082,COMP-0082,Site D,Mitsubishi,2009,2023-03-23,46604,2023-08-21,451.29,94.15,2.41,106.9,23.62,Diesel,Out of Service
TURB-0083,COMP-0083,Site C,Siemens,2014,2023-03-24,12956,2023-08-22,11.87,61.31,5.29,1006.62,23.54,Diesel,Out of Service
TURB-0084,COMP-0084,Site B,GE,2004,2023-03-25,38085,2023-08-23,376.12,83.78,2.66,1137.96,6.4,Diesel,Out of Service
TURB-0085,COMP-0085,Site A,GE,2000,2023-03-26,38211,2023-08-24,186.81,72.63,9.93,139.49,19.97,Hydrogen,Operational
TURB-0086,COMP-0086,Site A,Siemens,2007,2023-03-27,98119,2023-08-25,103.21,83.66,7.23,248.93,15.16,Natural Gas,Out of Service
TURB-0087,COMP-0087,Site C,GE,2001,2023-03-28,32348,2023-08-26,223.69,70.12,4.4,246.73,2.3,Diesel,Out of Service
TURB-0088,COMP-0088,Site D,Mitsubishi,2000,2023-03-29,56386,2023-08-27,107.04,96.75,9.04,974.26,8.49,Hydrogen,Maintenance Required
TURB-0089,COMP-0089,Site A,GE,2015,2023-03-30,33405,2023-08-28,435.73,64.33,1.53,1015.16,7.69,Hydrogen,Out of Service
TURB-0090,COMP-0090,Site B,Siemens,2004,2023-03-31,37686,2023-08-29,399.85,66.0,2.95,532.16,22.17,Natural Gas,Maintenance Required
TURB-0091,COMP-0091,Site B,Solar,2018,2023-04-01,84114,2023-08-30,429.93,61.74,9.56,1164.73,22.59,Natural Gas,Out of Service
TURB-0092,COMP-0092,Site A,GE,2010,2023-04-02,17677,2023-08-31,419.58,90.21,5.61,348.4,2.31,Hydrogen,Operational
TURB-0093,COMP-0093,Site A,GE,2007,2023-04-03,85159,2023-09-01,414.16,63.57,9.21,653.89,18.92,Diesel,Out of Service
TURB-0094,COMP-0094,Site A,Mitsubishi,2003,2023-04-04,16908,2023-09-02,294.9,70.51,9.84,1195.73,4.32,Hydrogen,Maintenance Required
TURB-0095,COMP-0095,Site D,Siemens,2013,2023-04-05,53005,2023-09-03,451.96,67.81,3.67,1001.17,20.09,Natural Gas,Out of Service
TURB-0096,COMP-0096,Site D,Mitsubishi,2016,2023-04-06,45870,2023-09-04,38.98,73.43,5.81,610.26,21.37,Hydrogen,Operational
TURB-0097,COMP-0097,Site C,Solar,2008,2023-04-07,25606,2023-09-05,150.08,89.1,8.48,174.8,2.89,Hydrogen,Maintenance Required
TURB-0098,COMP-0098,Site B,Solar,2003,2023-04-08,99091,2023-09-06,114.16,96.11,2.8,1090.0,9.17,Natural Gas,Operational
TURB-0099,COMP-0099,Site C,GE,2001,2023-04-09,63045,2023-09-07,69.33,93.4,4.52,673.44,10.42,Natural Gas,Out of Service
TURB-0100,COMP-0100,Site C,GE,2009,2023-04-10,22261,2023-09-08,13.11,91.96,1.62,404.6,23.95,Hydrogen,Out of Service
TURB-0101,COMP-0101,Site B,Solar,2018,2023-04-11,23007,2023-09-09,207.3,75.86,6.56,568.9,10.22,Natural Gas,Maintenance Required
TURB-0102,COMP-0102,Site B,GE,2008,2023-04-12,25574,2023-09-10,364.76,90.47,0.14,407.57,7.52,Diesel,Operational
TURB-0103,COMP-0103,Site B,Solar,2015,2023-04-13,38985,2023-09-11,325.99,89.53,4.55,683.71,16.06,Diesel,Operational
TURB-0104,COMP-0104,Site C,Mitsubishi,2019,2023-04-14,70683,2023-09-12,329.01,69.41,9.3,363.88,5.23,Diesel,Maintenance Required
TURB-0105,COMP-0105,Site D,Mitsubishi,2016,2023-04-15,48578,2023-09-13,445.18,69.97,8.98,562.88,16.19,Natural Gas,Out of Service
TURB-0106,COMP-0106,Site B,Mitsubishi,2001,2023-04-16,24894,2023-09-14,479.1,78.96,8.06,540.2,12.28,Hydrogen,Out of Service
TURB-0107,COMP-0107,Site A,Mitsubishi,2018,2023-04-17,64426,2023-09-15,343.49,96.61,1.5,758.48,18.69,Hydrogen,Operational
TURB-0108,COMP-0108,Site D,GE,2001,2023-04-18,62316,2023-09-16,51.61,64.1,5.25,66.29,15.1,Hydrogen,Maintenance Required
TURB-0109,COMP-0109,Site D,GE,2015,2023-04-19,85777,2023-09-17,341.58,97.56,7.22,738.56,5.65,Hydrogen,Operational
TURB-0110,COMP-0110,Site D,Siemens,2015,2023-04-20,54597,2023-09-18,281.84,66.04,1.1,732.08,23.53,Diesel,Out of Service
TURB-0111,COMP-0111,Site D,Solar,2013,2023-04-21,12782,2023-09-19,41.56,78.45,1.56,501.13,12.05,Hydrogen,Out of Service
TURB-0112,COMP-0112,Site B,Solar,2019,2023-04-22,30672,2023-09-20,135.99,71.55,0.5,333.93,19.0,Hydrogen,Operational
TURB-0113,COMP-0113,Site C,GE,2000,2023-04-23,88057,2023-09-21,126.47,75.95,3.3,1015.14,14.0,Natural Gas,Out of Service
TURB-0114,COMP-0114,Site A,Siemens,2008,2023-04-24,98976,2023-09-22,388.67,96.4,8.79,446.5,21.83,Natural Gas,Out of Service
TURB-0115,COMP-0115,Site A,Mitsubishi,2014,2023-04-25,42673,2023-09-23,179.15,84.01,5.12,408.49,9.42,Hydrogen,Maintenance Required
TURB-0116,COMP-0116,Site C,Solar,2014,2023-04-26,8723,2023-09-24,255.33,71.31,8.55,582.64,16.51,Diesel,Maintenance Required
TURB-0117,COMP-0117,Site C,Mitsubishi,2010,2023-04-27,83529,2023-09-25,395.01,83.88,0.93,369.69,3.37,Diesel,Maintenance Required
TURB-0118,COMP-0118,Site D,GE,2004,2023-04-28,29604,2023-09-26,468.89,77.18,0.66,1005.38,3.33,Diesel,Out of Service
TURB-0119,COMP-0119,Site B,GE,2007,2023-04-29,84424,2023-09-27,273.72,95.85,8.06,699.69,21.32,Natural Gas,Maintenance Required
TURB-0120,COMP-0120,Site A,Siemens,2006,2023-04-30,12423,2023-09-28,282.1,73.41,5.03,917.54,20.73,Diesel,Operational
TURB-0121,COMP-0121,Site D,Mitsubishi,2005,2023-05-01,63302,2023-09-29,56.97,82.21,4.76,907.19,9.94,Natural Gas,Out of Service
TURB-0122,COMP-0122,Site D,Solar,2006,2023-05-02,88451,2023-09-30,252.22,92.28,4.81,956.44,17.39,Diesel,Operational
TURB-0123,COMP-0123,Site B,Solar,2018,2023-05-03,40299,2023-10-01,346.37,96.44,3.87,1049.59,20.98,Natural Gas,Out of Service
TURB-0124,COMP-0124,Site A,GE,2013,2023-05-04,26230,2023-10-02,102.64,90.37,8.88,1107.38,4.88,Natural Gas,Operational
TURB-0125,COMP-0125,Site C,GE,2010,2023-05-05,23529,2023-10-03,64.52,95.55,5.26,491.15,24.64,Natural Gas,Maintenance Required
TURB-0126,COMP-0126,Site D,Mitsubishi,2018,2023-05-06,1150,2023-10-04,433.03,77.62,9.74,560.28,22.32,Hydrogen,Out of Service
TURB-0127,COMP-0127,Site A,Siemens,2013,2023-05-07,11170,2023-10-05,66.29,89.05,8.48,107.57,17.74,Natural Gas,Out of Service
TURB-0128,COMP-0128,Site A,Mitsubishi,2018,2023-05-08,61950,2023-10-06,457.41,63.6,7.4,1114.56,14.27,Natural Gas,Operational
TURB-0129,COMP-0129,Site D,Mitsubishi,2005,2023-05-09,29386,2023-10-07,144.09,82.56,6.4,725.22,22.53,Natural Gas,Out of Service
TURB-0130,COMP-0130,Site A,Solar,2000,2023-05-10,27393,2023-10-08,171.68,60.51,8.37,869.16,18.87,Diesel,Operational
TURB-0131,COMP-0131,Site B,Solar,2013,2023-05-11,88692,2023-10-09,267.53,69.88,8.83,551.41,15.24,Natural Gas,Maintenance Required
TURB-0132,COMP-0132,Site A,Siemens,2011,2023-05-12,46683,2023-10-10,102.17,85.29,1.42,594.93,22.45,Hydrogen,Operational
TURB-0133,COMP-0133,Site B,Solar,2011,2023-05-13,44954,2023-10-11,347.39,66.52,3.66,674.65,6.45,Diesel,Operational
TURB-0134,COMP-0134,Site D,Siemens,2008,2023-05-14,5995,2023-10-12,266.71,67.61,8.07,964.66,7.24,Diesel,Out of Service
TURB-0135,COMP-0135,Site A,Solar,2008,2023-05-15,37177,2023-10-13,473.6,62.35,2.29,754.91,23.36,Hydrogen,Maintenance Required
TURB-0136,COMP-0136,Site B,Siemens,2013,2023-05-16,19274,2023-10-14,456.5,88.4,5.9,982.89,3.08,Natural Gas,Maintenance Required
TURB-0137,COMP-0137,Site B,Siemens,2019,2023-05-17,99414,2023-10-15,387.16,77.02,7.83,299.19,2.58,Natural Gas,Maintenance Required
TURB-0138,COMP-0138,Site A,GE,2001,2023-05-18,56475,2023-10-16,100.56,93.74,2.32,286.71,20.11,Diesel,Maintenance Required
TURB-0139,COMP-0139,Site D,Mitsubishi,2013,2023-05-19,51128,2023-10-17,114.76,73.77,4.08,287.84,11.23,Hydrogen,Out of Service
TURB-0140,COMP-0140,Site C,Mitsubishi,2006,2023-05-20,43394,2023-10-18,141.55,76.54,9.16,55.57,23.03,Diesel,Out of Service
TURB-0141,COMP-0141,Site C,Mitsubishi,2014,2023-05-21,8943,2023-10-19,418.73,78.81,3.62,255.92,8.57,Diesel,Out of Service
TURB-0142,COMP-0142,Site A,Solar,2007,2023-05-22,54428,2023-10-20,327.49,92.71,6.09,186.56,8.25,Natural Gas,Maintenance Required
TURB-0143,COMP-0143,Site A,GE,2018,2023-05-23,30038,2023-10-21,96.03,71.1,4.4,571.82,23.99,Natural Gas,Operational
TURB-0144,COMP-0144,Site C,Siemens,2001,2023-05-24,63988,2023-10-22,234.55,61.96,8.78,196.33,14.51,Hydrogen,Maintenance Required
TURB-0145,COMP-0145,Site D,Siemens,2000,2023-05-25,76949,2023-10-23,487.7,83.83,4.3,528.23,15.92,Diesel,Maintenance Required
TURB-0146,COMP-0146,Site B,Siemens,2018,2023-05-26,68669,2023-10-24,368.8,91.38,3.66,1199.43,22.6,Hydrogen,Maintenance Required
TURB-0147,COMP-0147,Site C,Solar,2007,2023-05-27,81419,2023-10-25,467.8,81.14,1.82,628.87,10.45,Diesel,Operational
TURB-0148,COMP-0148,Site D,Mitsubishi,2006,2023-05-28,15242,2023-10-26,406.33,72.18,3.56,1113.34,7.32,Hydrogen,Operational
TURB-0149,COMP-0149,Site C,GE,2017,2023-05-29,22426,2023-10-27,365.28,83.96,6.73,857.19,14.92,Hydrogen,Out of Service
TURB-0150,COMP-0150,Site D,Siemens,2018,2023-05-30,82772,2023-10-28,416.66,97.66,1.84,1078.47,11.14,Hydrogen,Maintenance Required
TURB-0151,COMP-0151,Site C,Solar,2012,2023-05-31,41515,2023-10-29,349.36,81.81,7.08,769.42,5.34,Hydrogen,Maintenance Required
TURB-0152,COMP-0152,Site D,Siemens,2015,2023-06-01,53876,2023-10-30,288.01,71.98,0.21,981.61,4.29,Diesel,Maintenance Required
TURB-0153,COMP-0153,Site D,Siemens,2010,2023-06-02,13718,2023-10-31,370.58,69.26,3.73,398.22,18.55,Hydrogen,Maintenance Required
TURB-0154,COMP-0154,Site D,Siemens,2009,2023-06-03,39533,2023-11-01,122.44,97.93,4.71,477.7,2.3,Diesel,Out of Service
TURB-0155,COMP-0155,Site B,Siemens,2018,2023-06-04,46713,2023-11-02,250.27,92.32,1.05,1154.3,13.9,Hydrogen,Operational
TURB-0156,COMP-0156,Site D,GE,2004,2023-06-05,14685,2023-11-03,476.18,70.62,6.87,357.66,9.25,Natural Gas,Out of Service
TURB-0157,COMP-0157,Site C,Siemens,2011,2023-06-06,95471,2023-11-04,406.22,69.97,1.12,534.58,5.05,Diesel,Out of Service
TURB-0158,COMP-0158,Site D,Siemens,2003,2023-06-07,70800,2023-11-05,463.89,90.54,0.99,798.83,22.43,Diesel,Out of Service
TURB-0159,COMP-0159,Site D,GE,2015,2023-06-08,5412,2023-11-06,484.05,97.71,3.74,501.26,18.9,Diesel,Operational
TURB-0160,COMP-0160,Site A,GE,2001,2023-06-09,50364,2023-11-07,297.71,77.69,7.41,74.09,19.67,Hydrogen,Out of Service
TURB-0161,COMP-0161,Site D,Siemens,2003,2023-06-10,80415,2023-11-08,106.13,68.64,9.64,961.06,11.74,Diesel,Maintenance Required
TURB-0162,COMP-0162,Site D,GE,2015,2023-06-11,83553,2023-11-09,373.11,68.75,7.78,436.0,16.74,Hydrogen,Out of Service
TURB-0163,COMP-0163,Site A,Mitsubishi,2010,2023-06-12,33607,2023-11-10,13.59,90.3,4.71,311.81,3.63,Hydrogen,Maintenance Required
TURB-0164,COMP-0164,Site B,GE,2005,2023-06-13,72553,2023-11-11,53.68,82.99,2.8,631.4,4.77,Natural Gas,Out of Service
TURB-0165,COMP-0165,Site D,Mitsubishi,2010,2023-06-14,41681,2023-11-12,150.2,84.08,3.08,59.7,9.08,Natural Gas,Out of Service
TURB-0166,COMP-0166,Site A,GE,2009,2023-06-15,10576,2023-11-13,17.44,67.38,2.91,1043.48,12.26,Natural Gas,Maintenance Required
TURB-0167,COMP-0167,Site D,GE,2014,2023-06-16,3170,2023-11-14,344.84,64.96,2.86,350.55,3.7,Hydrogen,Maintenance Required
TURB-0168,COMP-0168,Site B,Siemens,2020,2023-06-17,18429,2023-11-15,410.13,60.4,0.78,1111.16,14.78,Diesel,Maintenance Required
TURB-0169,COMP-0169,Site C,Solar,2006,2023-06-18,86209,2023-11-16,379.35,94.78,2.28,829.42,7.14,Diesel,Maintenance Required
TURB-0170,COMP-0170,Site D,Solar,2020,2023-06-19,18260,2023-11-17,80.8,73.49,1.17,680.95,19.7,Natural Gas,Maintenance Required
TURB-0171,COMP-0171,Site C,Siemens,2014,2023-06-20,34161,2023-11-18,403.91,88.8,0.17,977.19,1.51,Diesel,Operational
TURB-0172,COMP-0172,Site A,Solar,2000,2023-06-21,24084,2023-11-19,415.96,93.61,2.93,1192.24,21.85,Natural Gas,Operational
TURB-0173,COMP-0173,Site D,Mitsubishi,2007,2023-06-22,48364,2023-11-20,57.3,82.75,3.59,338.89,18.72,Natural Gas,Operational
TURB-0174,COMP-0174,Site A,Mitsubishi,2004,2023-06-23,34000,2023-11-21,251.27,76.12,9.28,458.36,14.34,Diesel,Out of Service
TURB-0175,COMP-0175,Site C,GE,2020,2023-06-24,37337,2023-11-22,347.18,61.47,9.95,607.09,18.83,Diesel,Operational
TURB-0176,COMP-0176,Site D,Solar,2005,2023-06-25,93535,2023-11-23,209.28,72.81,5.84,670.4,10.07,Hydrogen,Maintenance Required
TURB-0177,COMP-0177,Site C,Siemens,2003,2023-06-26,39673,2023-11-24,445.74,72.22,9.02,685.92,5.32,Diesel,Operational
TURB-0178,COMP-0178,Site A,Mitsubishi,2014,2023-06-27,63153,2023-11-25,269.28,81.52,6.22,681.32,1.71,Diesel,Operational
TURB-0179,COMP-0179,Site B,Solar,2003,2023-06-28,83751,2023-11-26,69.84,89.03,5.03,1002.48,14.39,Natural Gas,Out of Service
TURB-0180,COMP-0180,Site B,Siemens,2002,2023-06-29,42046,2023-11-27,269.91,87.02,0.52,515.29,8.36,Hydrogen,Maintenance Required
TURB-0181,COMP-0181,Site B,Solar,2015,2023-06-30,40808,2023-11-28,292.95,93.06,0.54,62.62,6.5,Diesel,Out of Service
TURB-0182,COMP-0182,Site A,GE,2015,2023-07-01,60252,2023-11-29,477.28,61.78,0.4,1057.05,21.87,Hydrogen,Operational
