Turbine_ID,Compressor_ID,Date,Fuel_Consumption_m3,CO2_Emissions_kg,NOx_Emissions_kg,SOx_Emissions_kg,Power_Output_MW,Operating_Hours,Load_Factor,Temperature_C,Pressure_Ratio,Fuel_Type,Location,Manufacturer
TURB-0029,COMP-0029,2023-01-29,3108.38,25089.07,884.07,1238.36,142.74,56966,0.67,1105.71,6.55,Natural Gas,Site A,Siemens
TURB-0030,COMP-0030,2023-01-30,6731.23,5092.85,2180.93,1289.51,447.47,58124,0.93,1159.54,15.44,Hydrogen,Site C,Siemens
TURB-0031,COMP-0031,2023-01-31,6649.79,29476.02,4287.36,236.18,175.05,94371,0.66,1037.74,17.45,Hydrogen,Site C,Mitsubishi
TURB-0032,COMP-0032,2023-02-01,5875.77,15047.33,1920.5,2446.92,41.35,62583,0.68,285.08,4.0,Natural Gas,Site C,GE
TURB-0033,COMP-0033,2023-02-02,9637.64,2223.87,634.24,534.67,250.03,13618,0.65,658.79,12.47,Hydrogen,Site D,Siemens
TURB-0034,COMP-0034,2023-02-03,4231.92,41655.48,4716.67,2271.23,171.25,52810,0.72,262.25,6.98,Hydrogen,Site C,Mitsubishi
TURB-0035,COMP-0035,2023-02-04,8692.79,7322.98,3232.12,611.8,244.9,84859,0.51,737.78,20.47,Diesel,Site A,Solar
TURB-0036,COMP-0036,2023-02-05,653.99,46331.79,1577.76,1335.34,347.78,68411,0.63,325.01,23.38,Natural Gas,Site A,Solar
TURB-0037,COMP-0037,2023-02-06,4155.27,33491.99,2956.42,2010.55,477.96,59522,0.63,429.62,13.63,Hydrogen,Site C,Solar
TURB-0038,COMP-0038,2023-02-07,822.08,8010.24,542.57,2376.98,391.71,34167,0.93,685.14,14.54,Natural Gas,Site C,Siemens
TURB-0039,COMP-0039,2023-02-08,5981.5,14046.6,2864.92,1033.64,252.39,81846,0.85,190.49,3.36,Diesel,Site B,Solar
TURB-0040,COMP-0040,2023-02-09,5964.46,48854.39,4114.71,221.74,388.93,68938,0.63,457.53,10.65,Natural Gas,Site C,Solar
TURB-0041,COMP-0041,2023-02-10,3532.45,32778.84,778.02,106.32,127.34,69327,0.68,441.02,4.9,Natural Gas,Site D,Siemens
TURB-0042,COMP-0042,2023-02-11,9070.51,24621.35,4189.63,2190.82,415.33,48846,0.98,723.17,18.06,Hydrogen,Site D,Mitsubishi
TURB-0043,COMP-0043,2023-02-12,1708.5,47749.43,2809.2,1222.85,280.32,71203,0.8,708.22,24.04,Natural Gas,Site D,Siemens
TURB-0044,COMP-0044,2023-02-13,4696.28,2490.8,1042.61,417.37,408.02,70774,0.85,498.5,20.46,Diesel,Site B,Solar
TURB-0045,COMP-0045,2023-02-14,5941.59,19791.09,1135.33,1187.14,290.83,6733,0.99,1045.4,10.62,Diesel,Site A,Solar
TURB-0046,COMP-0046,2023-02-15,2062.68,41093.96,4427.34,594.98,172.48,30557,0.83,789.31,17.09,Natural Gas,Site D,GE
TURB-0047,COMP-0047,2023-02-16,8211.18,47801.34,2431.2,1763.68,63.43,23550,0.7,975.22,24.94,Diesel,Site C,Siemens
TURB-0048,COMP-0048,2023-02-17,4610.38,39420.79,1485.95,1048.13,238.0,4873,0.69,706.34,2.46,Natural Gas,Site A,Solar
TURB-0049,COMP-0049,2023-02-18,5279.27,32226.42,1337.13,1833.94,371.18,27666,0.56,488.38,8.03,Diesel,Site D,Mitsubishi
TURB-0050,COMP-0050,2023-02-19,4123.74,7301.11,2060.63,1924.26,155.28,52465,0.55,486.93,3.36,Hydrogen,Site D,GE
TURB-0051,COMP-0051,2023-02-20,6099.85,27303.61,3910.79,966.83,155.13,20836,0.69,288.26,16.49,Diesel,Site D,Solar
TURB-0052,COMP-0052,2023-02-21,8158.5,29158.21,231.0,1674.85,386.65,51410,0.71,1008.43,21.29,Natural Gas,Site C,Siemens
TURB-0053,COMP-0053,2023-02-22,3418.68,41585.67,627.68,1945.69,101.49,30826,0.83,1019.25,10.04,Hydrogen,Site C,Solar
TURB-0054,COMP-0054,2023-02-23,3113.24,33784.02,2278.94,175.05,209.38,90615,0.73,175.51,10.76,Hydrogen,Site B,Siemens
TURB-0055,COMP-0055,2023-02-24,9127.76,42427.66,4547.9,523.15,312.98,32567,0.86,1006.0,8.41,Hydrogen,Site D,Siemens
TURB-0056,COMP-0056,2023-02-25,9992.75,29453.38,4429.64,2456.61,191.18,39119,0.55,993.88,14.74,Diesel,Site A,GE
TURB-0057,COMP-0057,2023-02-26,2355.33,7640.06,3928.04,67.66,482.54,58966,0.66,743.11,4.47,Hydrogen,Site A,Mitsubishi
TURB-0058,COMP-0058,2023-02-27,2248.79,37713.64,4896.32,816.68,460.56,88922,0.95,908.28,5.92,Natural Gas,Site A,Mitsubishi
TURB-0059,COMP-0059,2023-02-28,1565.16,32172.56,627.07,1966.36,475.0,13610,0.52,1109.29,3.41,Diesel,Site B,GE
TURB-0060,COMP-0060,2023-03-01,2998.33,18060.27,4428.85,824.95,491.32,36236,0.83,608.48,4.87,Hydrogen,Site D,Solar
TURB-0061,COMP-0061,2023-03-02,5014.03,41159.11,198.05,2057.59,486.99,89908,0.78,943.48,21.33,Hydrogen,Site A,GE
TURB-0062,COMP-0062,2023-03-03,147.97,44277.71,2133.81,374.16,164.91,18207,0.53,1152.77,5.73,Diesel,Site C,Mitsubishi
TURB-0063,COMP-0063,2023-03-04,2485.78,36961.0,1205.08,2198.14,268.52,54448,0.57,489.0,12.86,Hydrogen,Site B,GE
TURB-0064,COMP-0064,2023-03-05,8599.53,24716.56,1878.04,1208.13,394.05,18053,0.64,563.89,17.93,Natural Gas,Site B,Solar
TURB-0065,COMP-0065,2023-03-06,1326.16,16155.83,4872.44,140.38,362.61,43399,0.55,802.63,5.93,Diesel,Site C,Siemens
TURB-0066,COMP-0066,2023-03-07,8395.83,12200.27,1712.25,1577.1,138.53,16300,0.68,623.37,12.06,Natural Gas,Site A,Solar
TURB-0067,COMP-0067,2023-03-08,5643.88,41698.98,3184.79,729.28,188.03,97373,0.84,349.67,6.53,Hydrogen,Site B,Siemens
TURB-0068,COMP-0068,2023-03-09,2725.92,32888.43,3472.96,1766.03,469.6,83873,0.87,750.12,23.0,Hydrogen,Site A,Solar
TURB-0069,COMP-0069,2023-03-10,4614.8,32396.11,2792.82,2261.7,467.4,8626,0.68,923.94,2.36,Diesel,Site B,Siemens
TURB-0070,COMP-0070,2023-03-11,1791.69,10822.03,545.85,254.94,365.71,83450,0.94,56.59,15.29,Hydrogen,Site A,Solar
TURB-0071,COMP-0071,2023-03-12,6000.66,28225.45,4294.49,648.46,13.19,59625,0.94,280.79,22.21,Hydrogen,Site C,GE
TURB-0072,COMP-0072,2023-03-13,909.11,49387.78,3957.81,1008.23,262.94,72233,0.57,1193.04,19.97,Natural Gas,Site B,GE
TURB-0073,COMP-0073,2023-03-14,6149.25,22887.4,3772.62,2401.76,112.77,33389,0.84,1037.99,6.98,Hydrogen,Site C,GE
TURB-0074,COMP-0074,2023-03-15,4802.86,28032.44,4561.29,1043.58,389.65,76856,0.63,1194.6,14.13,Diesel,Site A,Siemens
TURB-0075,COMP-0075,2023-03-16,111.19,43923.05,1802.13,327.54,49.79,69365,0.8,785.76,2.96,Diesel,Site B,Siemens
TURB-0076,COMP-0076,2023-03-17,9297.38,43814.1,2922.74,779.22,405.82,26068,0.69,631.97,8.06,Diesel,Site D,Mitsubishi
TURB-0077,COMP-0077,2023-03-18,393.33,4236.61,3938.06,97.33,159.93,39622,0.78,86.92,10.54,Hydrogen,Site D,Siemens
TURB-0078,COMP-0078,2023-03-19,8533.17,45239.54,2277.76,518.41,192.06,55719,0.81,446.32,3.26,Natural Gas,Site C,Siemens
TURB-0079,COMP-0079,2023-03-20,2625.02,33148.82,4818.89,1543.81,350.1,31220,0.58,526.45,5.43,Natural Gas,Site D,Mitsubishi
TURB-0080,COMP-0080,2023-03-21,9822.49,17780.02,4258.56,463.51,122.34,83737,0.75,202.09,21.32,Diesel,Site D,Mitsubishi
TURB-0081,COMP-0081,2023-03-22,9997.19,38575.59,2700.06,2297.05,422.69,9969,0.58,504.22,12.49,Diesel,Site A,Solar
TURB-0082,COMP-0082,2023-03-23,2409.93,24926.94,821.89,1797.56,465.74,75334,0.59,309.28,23.64,Diesel,Site C,Mitsubishi
TURB-0083,COMP-0083,2023-03-24,2596.02,27858.5,2568.04,1736.15,494.21,77709,0.87,558.58,5.18,Hydrogen,Site C,Mitsubishi
TURB-0084,COMP-0084,2023-03-25,8495.78,32249.86,1114.05,1145.71,349.47,63630,0.96,730.55,17.25,Hydrogen,Site D,Siemens
TURB-0085,COMP-0085,2023-03-26,1491.97,40515.75,2092.24,1961.82,284.84,25006,0.72,816.69,19.46,Natural Gas,Site B,GE
TURB-0086,COMP-0086,2023-03-27,133.44,24114.31,1401.13,509.24,446.7,32262,0.88,671.26,19.73,Natural Gas,Site A,Siemens
TURB-0087,COMP-0087,2023-03-28,6336.04,13716.17,4083.4,1136.34,148.91,79962,0.79,91.67,19.38,Diesel,Site C,Siemens
TURB-0088,COMP-0088,2023-03-29,2791.97,31006.58,1371.07,2484.86,271.08,93647,0.94,1105.09,5.44,Hydrogen,Site B,Solar
TURB-0089,COMP-0089,2023-03-30,3751.19,48607.45,2998.19,752.55,116.4,46766,0.97,999.87,12.0,Diesel,Site D,Siemens
TURB-0090,COMP-0090,2023-03-31,4530.33,5774.53,355.63,1042.59,169.67,13914,0.92,742.92,22.45,Hydrogen,Site B,Mitsubishi
TURB-0091,COMP-0091,2023-04-01,2731.84,1325.67,3794.29,589.82,354.14,31747,0.96,1031.88,14.9,Diesel,Site D,Mitsubishi
TURB-0092,COMP-0092,2023-04-02,1275.14,20025.02,2299.56,235.79,57.72,42862,0.62,1049.91,10.28,Natural Gas,Site C,Siemens
TURB-0093,COMP-0093,2023-04-03,7107.29,27658.7,2138.17,1038.59,248.09,66241,0.64,311.94,1.83,Natural Gas,Site A,Mitsubishi
TURB-0094,COMP-0094,2023-04-04,4980.05,26037.46,2232.71,405.9,422.29,39540,0.79,356.21,15.78,Natural Gas,Site D,GE
TURB-0095,COMP-0095,2023-04-05,7710.06,16439.01,3592.65,1303.52,252.99,34048,0.9,131.21,22.52,Hydrogen,Site D,Mitsubishi
TURB-0096,COMP-0096,2023-04-06,9077.35,46734.49,2212.71,1894.1,128.06,49832,0.54,685.81,6.29,Hydrogen,Site A,Mitsubishi
TURB-0097,COMP-0097,2023-04-07,2339.15,12951.34,3713.54,2127.93,184.18,79721,0.66,873.7,24.88,Hydrogen,Site A,GE
TURB-0098,COMP-0098,2023-04-08,8959.55,6997.53,1486.45,461.64,293.72,16064,0.66,178.27,6.45,Natural Gas,Site D,GE
TURB-0099,COMP-0099,2023-04-09,9570.14,11962.76,4806.74,2259.01,315.06,49961,0.93,589.71,14.9,Natural Gas,Site B,GE
TURB-0100,COMP-0100,2023-04-10,3046.77,5764.29,2601.33,930.73,13.98,65283,0.87,987.21,12.79,Natural Gas,Site B,Solar
TURB-0101,COMP-0101,2023-04-11,8557.75,42447.32,2959.57,1147.32,97.74,81520,0.83,814.18,19.61,Diesel,Site C,Mitsubishi
TURB-0102,COMP-0102,2023-04-12,2799.71,20676.03,3505.59,1477.08,348.95,66191,0.59,697.55,13.0,Hydrogen,Site D,Mitsubishi
TURB-0103,COMP-0103,2023-04-13,8386.89,41701.74,2964.83,415.11,50.75,35460,0.76,657.64,9.41,Diesel,Site A,Mitsubishi
TURB-0104,COMP-0104,2023-04-14,9081.18,32260.13,2864.1,2111.99,426.98,84259,0.5,475.95,24.05,Natural Gas,Site D,GE
TURB-0105,COMP-0105,2023-04-15,9681.77,24252.69,111.85,1983.85,159.66,78055,0.6,552.04,14.86,Diesel,Site D,Solar
TURB-0106,COMP-0106,2023-04-16,5778.8,6013.81,2351.92,1208.65,395.99,2690,0.9,384.67,2.54,Hydrogen,Site C,Mitsubishi
TURB-0107,COMP-0107,2023-04-17,5515.69,2819.87,4347.26,828.1,422.41,1804,0.83,825.09,11.91,Natural Gas,Site A,Solar
TURB-0108,COMP-0108,2023-04-18,1103.78,28310.52,4626.78,1267.53,469.8,54263,0.77,790.11,13.29,Natural Gas,Site B,Siemens
TURB-0109,COMP-0109,2023-04-19,5440.62,10801.72,1512.39,1653.13,357.31,92703,0.92,282.0,2.3,Hydrogen,Site A,Solar
TURB-0110,COMP-0110,2023-04-20,8408.34,22708.94,3570.6,1765.82,432.27,13383,0.72,358.17,17.55,Hydrogen,Site A,Siemens
TURB-0111,COMP-0111,2023-04-21,190.48,47374.96,4306.68,1122.35,143.65,27674,0.64,1184.3,12.86,Diesel,Site A,Mitsubishi
TURB-0112,COMP-0112,2023-04-22,9096.43,7550.24,2257.57,115.05,17.66,96982,0.92,170.17,4.17,Diesel,Site C,GE
TURB-0113,COMP-0113,2023-04-23,5804.29,35621.27,3029.53,1796.91,342.95,90696,0.65,847.53,9.39,Natural Gas,Site B,Solar
TURB-0114,COMP-0114,2023-04-24,6459.9,11392.64,3235.58,833.53,135.47,32364,0.93,643.88,13.27,Hydrogen,Site B,Mitsubishi
TURB-0115,COMP-0115,2023-04-25,7326.01,12804.52,4750.14,2203.14,377.38,1623,0.83,139.87,22.0,Natural Gas,Site D,Solar
TURB-0116,COMP-0116,2023-04-26,9291.71,32294.0,2461.94,1083.06,193.86,97935,0.82,118.35,12.34,Hydrogen,Site A,Siemens
TURB-0117,COMP-0117,2023-04-27,6974.05,7413.0,3913.6,1999.54,386.38,17114,0.54,971.89,22.74,Diesel,Site D,Mitsubishi
TURB-0118,COMP-0118,2023-04-28,4455.12,19995.97,1015.95,949.65,383.28,74888,0.74,760.07,19.28,Diesel,Site C,Siemens
TURB-0119,COMP-0119,2023-04-29,8601.53,19630.21,2970.18,958.56,226.39,5854,0.69,101.37,16.68,Natural Gas,Site A,Mitsubishi
TURB-0120,COMP-0120,2023-04-30,9513.57,23310.56,2333.07,1918.28,431.15,44899,0.96,381.21,16.13,Natural Gas,Site C,Solar
TURB-0121,COMP-0121,2023-05-01,6249.96,16606.58,1225.64,1371.83,239.92,4260,0.51,347.55,18.64,Hydrogen,Site A,GE
TURB-0122,COMP-0122,2023-05-02,7673.64,14395.06,166.66,678.04,479.88,84715,0.8,695.43,11.92,Natural Gas,Site C,GE
TURB-0123,COMP-0123,2023-05-03,5569.12,39315.42,2996.54,2106.76,29.55,51751,0.71,327.52,11.43,Hydrogen,Site A,Siemens
TURB-0124,COMP-0124,2023-05-04,1199.42,4907.99,4064.96,1593.33,275.6,33667,0.9,963.89,6.64,Hydrogen,Site B,GE
TURB-0125,COMP-0125,2023-05-05,6148.06,42641.18,4055.07,1604.4,19.11,39507,0.92,323.81,14.62,Hydrogen,Site B,Siemens
TURB-0126,COMP-0126,2023-05-06,5740.84,42080.81,2008.72,1970.27,164.51,77058,0.73,568.56,17.82,Natural Gas,Site B,Siemens
TURB-0127,COMP-0127,2023-05-07,5053.1,46698.33,986.06,1594.71,236.35,9309,0.58,535.37,7.74,Natural Gas,Site D,Mitsubishi
TURB-0128,COMP-0128,2023-05-08,5688.02,12746.96,4722.31,682.41,93.68,58727,0.6,132.25,6.94,Natural Gas,Site A,Siemens
TURB-0129,COMP-0129,2023-05-09,3456.94,45902.76,1970.4,75.3,408.91,11772,0.86,498.03,5.88,Natural Gas,Site B,GE
TURB-0130,COMP-0130,2023-05-10,8034.3,23071.11,1804.13,1982.23,215.45,74934,0.91,519.32,2.91,Hydrogen,Site C,GE
TURB-0131,COMP-0131,2023-05-11,2506.81,34504.12,3112.71,2395.56,80.77,22011,0.68,217.44,23.02,Natural Gas,Site C,GE
TURB-0132,COMP-0132,2023-05-12,4377.38,42737.22,2256.39,1812.55,152.96,35635,0.68,1067.77,22.86,Diesel,Site D,Siemens
TURB-0133,COMP-0133,2023-05-13,7163.97,4068.84,1784.88,2074.05,75.58,73150,0.58,479.44,5.09,Hydrogen,Site A,GE
TURB-0134,COMP-0134,2023-05-14,5666.7,2701.26,1692.28,2166.26,276.22,92534,0.83,1025.39,20.69,Hydrogen,Site B,Mitsubishi
TURB-0135,COMP-0135,2023-05-15,1391.99,10888.61,2022.01,669.67,239.09,81485,0.56,719.56,10.83,Natural Gas,Site C,GE
TURB-0136,COMP-0136,2023-05-16,5004.77,28476.15,3458.11,924.34,113.45,22864,0.85,61.19,15.02,Diesel,Site A,Solar
TURB-0137,COMP-0137,2023-05-17,7494.45,39127.04,156.41,1848.27,486.05,76686,0.8,834.9,14.21,Diesel,Site B,Mitsubishi
TURB-0138,COMP-0138,2023-05-18,796.8,38997.97,1094.25,1126.66,333.2,24519,0.91,514.88,17.86,Natural Gas,Site B,Mitsubishi
TURB-0139,COMP-0139,2023-05-19,8531.46,44760.1,1352.62,1610.31,166.71,78665,0.8,891.68,15.75,Hydrogen,Site A,Mitsubishi
TURB-0140,COMP-0140,2023-05-20,5161.1,28261.44,4997.85,709.53,190.42,18378,0.6,842.81,7.6,Diesel,Site C,Siemens
TURB-0141,COMP-0141,2023-05-21,5329.92,28451.01,4431.94,1801.53,471.8,1327,0.79,899.73,10.42,Natural Gas,Site C,Solar
TURB-0142,COMP-0142,2023-05-22,5683.68,4841.8,2163.85,1505.66,293.15,31396,0.95,845.63,10.04,Hydrogen,Site D,Siemens
TURB-0143,COMP-0143,2023-05-23,2511.3,38498.5,3536.0,2396.2,64.85,60128,0.9,73.59,23.38,Hydrogen,Site D,Mitsubishi
TURB-0144,COMP-0144,2023-05-24,3869.57,24548.4,1255.06,2312.58,405.18,83982,0.59,1159.79,2.55,Hydrogen,Site D,Solar
TURB-0145,COMP-0145,2023-05-25,6722.04,11226.47,4701.52,1425.08,440.49,96010,0.55,583.09,19.88,Hydrogen,Site C,Mitsubishi
TURB-0146,COMP-0146,2023-05-26,4010.43,7129.35,4647.38,666.62,328.63,88109,0.98,1074.93,11.99,Natural Gas,Site D,Siemens
TURB-0147,COMP-0147,2023-05-27,9384.93,44569.86,893.58,1003.3,33.19,46302,0.87,239.58,18.75,Diesel,Site C,Mitsubishi
TURB-0148,COMP-0148,2023-05-28,9072.8,29244.0,4649.13,1858.62,154.7,56194,0.91,460.72,8.7,Hydrogen,Site A,GE
TURB-0149,COMP-0149,2023-05-29,1842.38,31291.76,2111.16,1082.93,368.8,14139,0.95,1169.96,3.83,Diesel,Site D,Solar
TURB-0150,COMP-0150,2023-05-30,2065.82,12797.28,2512.27,2064.54,133.95,92399,0.73,1056.38,20.41,Diesel,Site B,Siemens
TURB-0151,COMP-0151,2023-05-31,4169.11,27965.3,3493.08,634.9,225.09,46059,0.94,967.17,3.95,Diesel,Site D,Mitsubishi
TURB-0152,COMP-0152,2023-06-01,5873.2,8792.55,2445.33,1939.44,148.56,89619,0.57,383.75,20.63,Natural Gas,Site B,Mitsubishi
TURB-0153,COMP-0153,2023-06-02,8835.86,21524.69,2907.32,1973.03,59.87,20974,0.67,861.02,14.07,Natural Gas,Site C,Siemens
TURB-0154,COMP-0154,2023-06-03,1343.35,13058.38,2293.07,501.42,232.34,42088,0.67,327.32,17.48,Hydrogen,Site C,Mitsubishi
TURB-0155,COMP-0155,2023-06-04,7974.19,9161.23,429.3,266.41,317.45,50854,0.52,822.05,7.75,Natural Gas,Site C,GE
TURB-0156,COMP-0156,2023-06-05,1302.22,40173.87,2797.33,1523.41,151.77,9060,0.59,1162.22,17.45,Diesel,Site A,Siemens
TURB-0157,COMP-0157,2023-06-06,5598.04,33422.81,341.29,1947.85,121.03,73724,0.86,452.38,22.47,Natural Gas,Site D,Siemens
TURB-0158,COMP-0158,2023-06-07,5837.58,40179.39,592.34,2347.35,71.09,56601,0.73,611.6,5.74,Diesel,Site A,Mitsubishi
TURB-0159,COMP-0159,2023-06-08,9643.72,41959.48,3467.38,1722.11,344.01,88094,0.8,509.54,20.77,Hydrogen,Site D,Siemens
TURB-0160,COMP-0160,2023-06-09,7543.18,20098.31,2400.71,1723.73,121.5,3338,0.81,164.67,15.1,Hydrogen,Site B,Siemens
TURB-0161,COMP-0161,2023-06-10,7261.21,38053.62,2745.25,1112.4,221.22,10980,0.61,1143.66,6.52,Hydrogen,Site B,GE
TURB-0162,COMP-0162,2023-06-11,347.71,36963.26,924.65,826.32,92.49,62328,0.96,495.02,21.14,Natural Gas,Site C,GE
TURB-0163,COMP-0163,2023-06-12,7586.64,13086.72,3457.43,1084.93,311.8,4722,0.57,1154.8,6.78,Diesel,Site B,Siemens
TURB-0164,COMP-0164,2023-06-13,6813.31,34768.07,452.41,1757.02,315.93,33506,0.5,878.19,22.19,Diesel,Site D,Siemens
TURB-0165,COMP-0165,2023-06-14,6823.9,46478.03,1341.28,2459.92,429.67,22475,0.63,304.41,9.9,Natural Gas,Site C,GE
TURB-0166,COMP-0166,2023-06-15,601.53,34604.7,4524.65,1729.42,492.81,88168,0.75,748.58,17.96,Natural Gas,Site C,Mitsubishi
TURB-0167,COMP-0167,2023-06-16,3979.9,17040.0,225.79,1469.59,451.68,44241,0.58,154.6,18.66,Diesel,Site C,Siemens
TURB-0168,COMP-0168,2023-06-17,1236.99,35395.5,3754.86,1058.69,413.18,89662,0.89,274.98,13.16,Natural Gas,Site A,GE
TURB-0169,COMP-0169,2023-06-18,9129.04,29481.03,877.02,1000.35,442.84,39519,0.6,172.33,21.18,Natural Gas,Site B,GE
TURB-0170,COMP-0170,2023-06-19,3731.94,40480.01,4182.74,1108.91,36.36,5910,0.98,124.56,10.19,Natural Gas,Site D,Mitsubishi
TURB-0171,COMP-0171,2023-06-20,8774.6,14316.38,3078.19,1258.54,383.17,83761,0.85,761.48,21.54,Hydrogen,Site B,Solar
TURB-0172,COMP-0172,2023-06-21,3245.62,8949.53,265.51,1110.46,191.1,49632,0.93,359.98,14.89,Diesel,Site A,Siemens
TURB-0173,COMP-0173,2023-06-22,6744.53,22193.23,141.64,2192.6,102.3,90671,0.77,920.65,2.48,Diesel,Site D,GE
TURB-0174,COMP-0174,2023-06-23,193.61,31688.93,2919.48,92.68,221.86,40073,0.78,436.11,12.1,Hydrogen,Site B,Mitsubishi
TURB-0175,COMP-0175,2023-06-24,7006.54,5742.77,3989.74,1428.61,66.5,70091,0.99,1051.12,20.72,Hydrogen,Site D,Solar
TURB-0176,COMP-0176,2023-06-25,7003.07,13898.27,3599.03,2118.18,141.39,45587,0.56,557.81,7.71,Hydrogen,Site C,GE
TURB-0177,COMP-0177,2023-06-26,1464.56,9184.55,1548.04,1117.96,212.26,24876,0.79,454.05,18.25,Hydrogen,Site A,Siemens
TURB-0178,COMP-0178,2023-06-27,4529.79,38742.51,3647.45,2183.24,297.82,6385,0.53,96.79,12.1,Hydrogen,Site A,Mitsubishi
TURB-0179,COMP-0179,2023-06-28,6863.83,35518.77,1461.82,1516.09,467.82,26001,1.0,889.94,8.79,Hydrogen,Site A,Siemens
TURB-0180,COMP-0180,2023-06-29,5355.27,31645.37,2525.79,729.08,46.15,78298,0.82,1172.85,22.4,Natural Gas,Site C,Solar
TURB-0181,COMP-0181,2023-06-30,9261.3,23690.1,1183.8,580.07,314.25,56875,0.54,349.6,12.78,Hydrogen,Site D,Siemens
TURB-0182,COMP-0182,2023-07-01,2187.48,22925.71,666.59,157.98,47.56,66573,0.64,802.6,19.23,Diesel,Site C,Mitsubishi
TURB-0183,COMP-0183,2023-07-02,9654.26,26352.19,4805.16,1774.02,300.71,16030,0.95,825.75,12.39,Diesel,Site A,Solar
